# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
  630957 6.200e-02 6.555e-02 6.292e-02 8.332e-04
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.790e-07 4.960e-07 4.834e-07 2.663e-09
      13 5.030e-07 6.440e-07 5.160e-07 2.567e-08
      16 5.300e-07 5.530e-07 5.372e-07 4.010e-09
      20 5.860e-07 7.370e-07 6.000e-07 1.802e-08
      25 6.670e-07 9.770e-07 7.178e-07 8.305e-08
      32 8.220e-07 1.397e-06 8.914e-07 1.075e-07
      40 1.054e-06 1.582e-06 1.119e-06 8.368e-08
      50 1.397e-06 2.292e-06 1.496e-06 1.313e-07
      63 2.029e-06 2.290e-06 2.121e-06 4.966e-08
      79 2.909e-06 3.732e-06 3.044e-06 9.404e-08
     100 4.375e-06 4.800e-06 4.560e-06 9.794e-08
     126 6.651e-06 8.986e-06 6.992e-06 2.851e-07
     158 1.014e-05 1.244e-05 1.062e-05 2.959e-07
     200 1.594e-05 2.133e-05 1.670e-05 6.589e-07
     251 2.510e-05 3.611e-05 2.656e-05 1.739e-06
     316 4.040e-05 5.230e-05 4.229e-05 2.128e-06
     398 6.230e-05 7.860e-05 6.515e-05 2.677e-06
     501 9.788e-05 1.208e-04 1.015e-04 3.540e-06
     631 1.552e-04 1.992e-04 1.611e-04 7.089e-06
     794 2.430e-04 2.916e-04 2.528e-04 8.523e-06
    1000 3.864e-04 4.607e-04 4.042e-04 1.608e-05
    1259 6.177e-04 7.090e-04 6.395e-04 2.013e-05
    1585 9.806e-04 1.080e-03 1.012e-03 2.330e-05
    1995 1.537e-03 1.741e-03 1.602e-03 3.848e-05
    2512 2.473e-03 2.681e-03 2.539e-03 3.975e-05
    3162 3.950e-03 4.244e-03 4.027e-03 5.178e-05
    3981 6.262e-03 6.776e-03 6.389e-03 8.941e-05
    5012 9.986e-03 1.076e-02 1.020e-02 1.575e-04
    6310 1.585e-02 1.680e-02 1.612e-02 2.174e-04
    7943 2.504e-02 2.658e-02 2.547e-02 2.850e-04
